Title,Director,Production,Music Composer,Cast,Genre,Release Date,Year,index
Sita Ramulu,Dasari Narayana Rao,Jayakrishna Movies,,Krishnam Raju,,,1980,952
Srivari Muchatlu,Dasari Narayana Rao,Lakshmi Films Combines,,Akkineni Nageswara Rao,,,1980,953
Subhodayam,K. Viswanath,Sri Ram Art Pictures,,Chandra Mohan,,,1980,954
Superman,V. Madhusudhan Rao,,,N. T. Rama Rao,,,1980,955
Thathayya Premaleelalu,B. V. Prasad,Kaumudi Arts,,Chiranjeevi,,,1980,956
Tholi Kodi Koosindi,K. Balachander,,,Sarath Babu,,,1980,957
Yamudu,Amrutha,,,Krishna Ghattamaneni,,,1980,958
Yedanthasthula Meda,ANR,,,,,,1980,959
Yuvatharam Kadilindi,Dhavala Satyam,Navatharam Pictures,,Murali Mohan,,,1980,960
Vamsa Vruksham,Bapu,Drama,,Anil Kapoor,,,1980,961
Aatmabalam,T. L. V. Prasad,,,Nandamuri Balakrishna,,,1985,962
Adavi Donga,K. Raghavendra Rao,,Chakravarthy,Chiranjeevi,,,1985,963
Agni Parvatam,K. Raghavendra Rao,,Chakravarthy,Krishna Ghattamaneni,,,1985,964
Anveshana,Vamsy,,Ilaiyaraaja,Karthik,,,1985,965
Babayi-Abbayi,Jandhyala,,,Nandamuri Balakrishna,,,1985,966
Bangaru Chilaka,Anil Kumar,,S. P. Balasubrahmanyam,Arjun,,,1985,967
Bhale Thammudu,Paruchuri Brothers,,,Nandamuri Balakrishna,,,1985,968
Bharyabhartala Bandham,V. B. Rajendra Prasad,,Chakravarthy,Akkineni Nageshwara Rao,,,1985,969
Bullet,Bapu,,,Krishnam Raju,,,1985,970
Chattamtho Poratam,Kovelamudi Bapayya,,Chakravarthy,Chiranjeevi,,,1985,971
Chiranjeevi,C. V. Rajendran,,,Chiranjeevi,,,1985,972
Dampatyam,A. Kodandarami Reddy,,,ANR,,,1985,973
Darja Donga,Manivannan,,,Suman,,,1985,974
Devalayam,T. Krishna,,Chakravarthy,Shoban Babu,,,1985,975
Donga,A. Kodandarami Reddy,,Chakravarthy,Chiranjeevi,,,1985,976
Dongala Vetagadu,K. Raghavendra Rao,,Ilaiyaraaja,Kamal Haasan,,,1985,977
Illale Devata,T. L. V. Prasad,,,ANR,,,1985,978
Jwala,Raviraja Pinisetty,,Ilaiyaraaja,Chiranjeevi,,,1985,979
Kattula Kondaiah,S. B. Chakravarthy,,,Nandamuri Balakrishna,,,1985,980
