Title,Director,Production,Music Composer,Cast,Genre,Release Date,Year,index
Sri Lakshmamma Katha,"Prathibha Productions
",Ghantasala Balaramayya,C. R. Subburaman,A. Nageswara Rao,"Folklore
","26 February 1950
",1950,1957
Sri Saibaba,"Unity Pictures
","Pattabhi
","Mallikarjun (Mallik)
","Mannava Ramachandra Rao, Adhanki Srirama Murthy, Hemalatha, ","Devotional
","21 December 1950
",1950,1958
Swapna Sundari,"Prathibha Productions
",Ghantasala Balaramayya,C. R. Subburaman,A. Nageswara Rao,"Fantasy
","9 November 1950
",1950,1959
Thirugubatu,"Ragini Films
",P. Pullaiah,"Bhimavarapu Narasimha Rao
",C. H. Narayana Rao,"Social
","19 March 1950
",1950,1960
Vaali – Sugreeva,"Asoka Movies
","Jampana
",S. Rajeswara Rao,C. S. R. Anjaneyulu,"Devotional
","19 January 1950
",1950,1961
Anantha Ragalu,"Prabhakar (Story/Screenplay/Direction) Dialogues: Kompella Viswam
","Sree Sankuchakra Movies
","Sivaji Raja
","Prabhakar, Subhakar, Mohan Rao, Subrahmanyam, Bhanupriya, Rajyalakshmi, Purnima, Rohini
","College Romantic
","3 December 1982
",1982,1962
Andagaadu,"T. N. Balu
","Balu Cine Art
","Ilaiyaraja
",Kamal Haasan,,"6 February 1982
",1982,1963
Amara Geetham,R. Sundarrajan,"Goteti Films
",laiyaraaja,Mohan,"
","3 September 1982
",1982,1964
Anuraga Devatha,"Tatineni Rama Rao
","Rama Krishna Cine Studios
","Chakravarthy
",N. T. Rama Rao,Romance,"9 January 1982
",1982,1965
Aththaku Thagga Allullu,Rama Narayanan,"Lavanya Arts
","J. V. Raghavulu
","Vijayasanthi, Radha, Suresh, Murali, Raja Sulochana,
","Comedy/Romance
","7 October 1982
",1982,1966
Bandhalu Anubandhalu,"Bhargav
","Guna Chitra
","K. V. Mahadevan
","Sobhan Babu, Lakshmi, Chiranjeevi, Jaggaiah, Mada, Padmanabham, Pandari Bai
","Drama
","26 November 1982
",1982,1967
Bangaru Bhoomi,"P. Chandrashekar Reddy (Story/Screenplay/Direction)
","Mahaeswari Movies
","J. V. Raghavulu
","Krishna Gattamaneni, Sridevi
",,"14 January 1982
",1982,1968
Bangaru Kanuka,"V. Madhusudhan Rao
","
",,Akkineni Nageswara Rao,Romance,"
",1982,1969
Bangaru Koduku,"
","
",,,,"
",1982,1970
Bhakta Dhruvamarkandeya,"Bhanumathi Ramakrishna (Story/Screenplay/Dialogues/Direction/ Musical Supervision)
","Bharani Pictures
","S. Rajeswara Rao
","Sobhana, Vamsikrishna, Hari, Ravisankar, Rohini, Rani, Rajasyamala, Babu, Suresh etc.
","Devotional (U) Kids movie
","19 November 1982
",1982,1971
Bhakta Gnanadeva,"Hunsur Krishnamurthy
","Praveena Art Pictures
","G. K. Venkatesh
",Jayanthi,"Devotional (U)
","25 December 1982
",1982,1972
Bhale Kapuram,"
","
",,,,"
",1982,1973
Billa-Ranga,"K. S. R. Das
","P.N.R Pictrues
",,"Chiranjeevi, Mohan Babu, Shyamala, Swapna
",,"
",1982,1974
Bobbili Puli,"Dasari Narayana Rao
","
",,"N. T. Rama Rao, Sridevi",patriotic drama,"
",1982,1975
Cancer-Sukhavyadhulu,"Pillai Dialogues: Vituri
","Sastha Productions (Trivandrum)
","Syam
","
","Medical Educational (A)
","26 February 1982
",1982,1976
Chalaki Chellamma,"
","
",,,,"
",1982,1977
Chandamama,"Relangi Narasimha Rao (Direction)
","K.C. Films International
",,"Murali Mohan, Saritha, Mohan Babu, Fatafat
",,"26 June 1982
",1982,1978
Chattamtho Chelagatam,"N. S. Rajbharath Dialogues:- Rajasri
","Sri Vijaya Art Pictures
","Shankar Ganesh
","Rajesh, Baby Anju, Sreenath, Sumangali, Santhikrishna, A. Veerappan, Vani, Jayaram, Madhan
","Crime Thriller
","26 February 1982
",1982,1979
Chilipi Chinnodu,"Rangarajan
","
","Ilaiyaraja
","
","
","18 June 1982
",1982,1980
Chilipi Vayasu,"M. A. KazaThis column needs further ref work, is a Tamil Dubbed movie, (Raadhika as press reporter), should have the following actors, actresses - Padmanabham, Suryakantham, Rama Prabha
","Jaya Padma Movies
","Shankar Ganesh
",Sudhakar,"(A) CBFC 12 November 1980
","26 March 1982
",1982,1981
Devatha,"K. Raghavendra Rao
","Suresh Productions
","Chakravathy
",Sobhan Babu,"(A)
","10 September 1982
",1982,1982
Dharma Vaddi,"K. B. Tilak
","Roopachitra Kalamandir
","Pendyala
","Jaggaiah, Krishnaveni, Saichand, Sudhakar, Nutan Prasad
","(U) CBFC 31 December 1981
","20 March 1982
",1982,1983
Doctor Cine Actor,"
","
",,,,"
",1982,1984
Doctor Malathi,"
","
",,,,"
",1982,1985
Dongalosthunnaru Jagratta,"R. Thygarajan
","Ramana Art Films
","
","
","
","2 April 1982
",1982,1986
Edhi Dharmam Edhi Nyayam,"
","
",,,,"
",1982,1987
Ee Charithra Ye Siratho,"Vejella Satyanarayana (Screenplay/Direction)
","Sai Lakshmi Films
","Sivaji Raaja
","Siva Krishna, Sai Chand, Gokina Rama Rao, P. L. Narayana, Ranganadh, Anupama
",,"
",1982,1988
Ee Kaalam Katha,"
","
",,,,"
",1982,1989
Eenadu,"
","
",,,,"
",1982,1990
Eeswara Kataksham,"A. P. Nagarajan
","Sebari Art Pictures
","
","K. B. Sundarambal, ","Devotional (U) CBFC missing
","22 January 1982
",1982,1991
Ekalavya,"
","
",,,,"
",1982,1992
Emandoyi Srimathigaru,"
","
",,,,"
",1982,1993
Entha Gaatu Premayo,"
","
",,,,"
",1982,1994
Evandoy Srimathi Garu,"Relangi Narasimha Rao
","Raja Lakshmi Combines
","Krishna - Chakra
","Chandra Mohan Raadhika, Giri Babu, K. Vijaya
","
","5 February 1982
",1982,1995
Garuda Rekha,"P. S. Prakash
","Ramgopal Enterprises
","Satyam
","Srinath, Ambika, Madhavi, K. Vijaya, Dinesh, Vajramuni, Tiger Prabhakar,  Shakti Prasad,
","
","CBFC 8 October 1982 12 November 1982
",1982,1996
Golkonda Abbulu,"Dasari Narayana Rao
","Lakshmi Devi Films
","K. V. Mahadevan
","Krishnam Raju
","(U)
","25 August 1982
",1982,1997
Gopala Krishnudu,"A. Kodandamari Reddy
","
",,"Akkineni Nageswara Rao, Jayasudha, ",,"
",1982,1998
Grama Kakshalu,"V. C. Guhanathan (Story/Screenplay/Direction)
","Suresh Enterprises
","Ilaiyaraja
","Rajanikanth, Sridevi, Sripriya, Vijayakuma, Jaishankar
","
","30 July 1982
",1982,1999
Gruha Pravesam,"
","
",,,,"
",1982,2000
Hanthakulaku Saval,S. P. Muthuraman,"Narayana Art Movies
","Ilaiyaraja
","Rajanikanth, Rati Agnihotri, Sumalatha, V. K. Ramaswamy, Cho Ramaswamy
","
","3 December 1982
",1982,2001
Himabindu,,,,,"
","6 March 1982
",1982,2002
Iddaru Kodukulu,"
","
",,,,"
",1982,2003
Idi Pellantara,"D. Vijaya Bhaskar
","
",,Chiranjeevi,,"
",1982,2004
Illali Korikalu,"G. Raam Mohan Rao
","Babu Arts
","Chakravathy
","Sobhan Babu, Jaya Sudha, Satyanarayana, Nirmala, Saroja, Rohini, Dr. M. Prabhakar Reddy
","(U)
","28 October 1982
",1982,2005
Illanta Sandadi,"Relangi Narasimha Rao
","Rajalakshmi Combines
","Krishna  - Chakra
","Chandra Mohan, Nutan Prasad, Prabha, Nirmala, Suvarna, Dr. M. Prabhakar Reddy, ","(U) CBFC 16 July 1982
","14 November 1982
",1982,2006
Intlo Ramayya Veedhilo Krishnayya,"Kodi Ramakrishna
","
",,Chiranjeevi,,"
",1982,2007
Jagannadha Rathachakralu,"
","
",,,,"
",1982,2008
Jaggu,"
","
",,,,"
",1982,2009
Jai Mahakali,"Babubhai Mistri
","T.G.P. Art Pictures
","A. A. Raj
","Vikram Gokhale, Ranjana Deshmukh, Hercules, Dinesh Hingoo
","Devotional (U)
","22 October 1982
",1982,2010
Jai Santhoshi Matha,"Vijay Sharma
","Choodamani Combines
","C. Arjun & A. A. Raj
","Anita Guha, Ashish Kumar, Kanan Kaushal, Rajan Haksar, Leela Mishra, Manhar Desai, Mahipal, Trilok Kapoor
","Devotional (U)
","4 June 1982
",1982,2011
Jayamalini,"A. Jagananathan
","Mas Combines
","Shankar Ganesh
","Jayamalini, Jayachitra, Jai Ganesh, Srikanth
","(A) CBFC 15 September 1982
","15 October 1982
",1982,2012
Jayasudha,"K. V. Nandana Rao
","Taraka Prabhu Films
","Ramesh Naidu
","Jaya Sudha
",,"1 January 1982
",1982,2013
Justice Chowdary,"K. Raghavendra Rao
","
",,"N. T. Rama Rao, Sridevi, Sharada, Jayanthi",romance,"
",1982,2014
Kadali Vachina Kanaka Durga,"K. S. Reddy
","Surekha Enterprises
","Satyam
","Kavitha, Prasad Babu, Allu Rama Lingaiah, Ramana Murthy, Padmanbham, Sakshi Ranga Rao, Suryakantam
","(U) CBFC 19 August 1982
","20 November 1982
",1982,2015
Kalahala Kapuram,"
","
",,,,"
",1982,2016
Kalavari Samsaram,"K. S. Rami Reddy
","
","K. V. Mahadevan
",Krishna,drama,"3 December 1982
",1982,2017
Kaliyuga Ramudu,"K. Bapaiah
","
",,"N. T. Rama Rao, ","action, crime","
",1982,2018
Kayyala Ammayi Kalavari Abbayi,"C. Venakata Ganesh
","Sri Dakshayani Creations
","Krishna-Chakra
","Chandra Mohan, Raadhika, Satyanarayana, Allu Rama Lingaiah, Nutan Prasad, Ralla Palli, Manjula, Nirmala
","(U) CBFC Comedy
","3 September 1982
",1982,2019
Korukunna Mogudu,"Katta Subba Rao
","Vishnupriya Productions
","Satyam
","Sobhan Babu, Lakshmi, Jayasudha, Nutan Prasad, Kaikala Satyanarayana
","Family Drama (U)
","12 June 1982
",1982,2020
Kotha Neeru,K. S. Prakasa Rao,"Chitra Sahithi
","Ramesh Naidu
","Chandra Mohan, Deepa, Kakarala, Allu Rama Lingaiah
","(A) CBFC 7 February 1981
","7 November 1982
",1982,2021
Krishnarjunulu,"
","
",,,,"
",1982,2022
Krishnavataram,"Bapu (Direction)
","Chitra Kalpana Films
","K. V. Mahadevan
","Krishna, Sridevi, Vijayasanthi, K. Vijaya, P. R. Varalakshmi, Ramana Murthy,  Vijaya Sumitra
",,"22 September 1982
",1982,2023
Madhura Swapnam,"K. Raghavendra Rao
","Gopi Krishna Movies
","Satyam
",Krishnam Raju,,"14 January 1982
",1982,2024
Mahanati,"S. R. Puttanna Kanagal
","Venkata Krishna Films
",M. Ranga Rao,Ambarish,"
","2 October 1982
",1982,2025
Mahaprasthanam,"K. Hemambaradara Rao
","Naveena Art Pictures
","Chakravarthy
",,,"25 June 1982
",1982,2026
Malle Pandhiri,"
","
",,,,"
",1982,2027
Manchu Pallaki,Vamsy,"Godavari Chitra
",Rajan-Nagendra,"Chiranjeevi, Suhasini, Rajendra Prasad, Sai-chand","(U) CBFC 16 November 1982
","20 November 1982
",1982,2028
Mantralaya Raghavendra Vaibhavam,"
","
",,,,"
",1982,2029
Maro Malupu,"Vejella Satyanarayana
","
",,Gummadi Venkateswara Rao,social,"
",1982,2030
Meghasandesam,"Dasari Narayana Rao
","
",,"Akkineni Nageswara Rao, Jaya Prada, Jayasudha",drama,"
",1982,2031
Mettela Savvadi,J. Mahendran,"Lakshmi Nilaya Films
",Ilaiyaraaja,"Sarath Babu, Raadhika
","(U) CBFC 22 November 1982
","27 November 1982
",1982,2032
Mondi Ghatam,"Raja Chandra
","Anantha Lakshmi International
","Satyam
","Chiranjeevi, Raadhika, Kaikala Satyanarayana Gummadi, Annapurna, Rallapalli, Ravi Kondala Rao
","(A) CBFC 17 August 1982
","6 November 1982
",1982,2033
Musalodiki Dasara Panduga,S. P. Muthuraman,"Sri Vigneswara Cine Art Creations
","Ilaiyaraaja
",Rajinikanth,"
","15 May 1982
",1982,2034
Naa Desam,K. Bapaiah,"Pallavi Devi Productions
","Chakravarthy
","N. T. Rama Rao, ","(A) CBFC 11 October 1982
","27 October 1982
",1982,2035
Naa Pere Johnny,J. Mahendran,"Trisul International
",Ilaiyaraaja,Rajinikanth,"
","
",1982,2036
Nalugu Sthambalata,"Jandhyala
","
",,Naresh,drama,"
",1982,2037
Neethi Devan Mayakkam,Bapu,"
",,Bhanu Chander,,"
",1982,2038
Nipputo Chelagaatam,Kommineni Seshagiri Rao,"
",,Krishnam Raju,,"
",1982,2039
Nireekshana,Balu Mahendra,"
",,Bhanu Chander,,"
",1982,2040
Nivuru Gappina Nippu,"
","
",,,,"
",1982,2041
O Adadhi O Magadu,"Dasari Narayana Rao
","Kaviratna Movies
","M. S. Viswanathan
","Alekhya, Ravindra, Balaji, Shahida, Srihari Murthy, Nagurbabu
",,"27 October 1982
",1982,2042
Pagabattina Bebbuli,"S. V. Rajendra Singh Babu
","Sri Vigneswari Cine Art Creations
","Satyam
","Arjun, Aruna, Jayanthi, Amrish Puri, Fighter Shetty etc.,
","
","12 November 1982
",1982,2043
Pagabattina Simham,"P. Chandrasekhara Reddy
","Chandra Cine Arts
","Satyam
","Krishna, Jaya Prada, Prabha, Geetha, Prasad Babu, Satyanarayana, etc.
",,"3 September 1982
",1982,2044
Palletoori Simham,S. P. Muthuraman,"Sujatha Films (P) Ltd
","Ilaiyaraaja
","Kamal Haasan, Ambika, Silk Smitha
","(U) CBFC 2 December 1982
","10 December 1982
",1982,2045
Propakari Papanna,"D. S. Prakasa Rao (Screenplay/Direction)
","Sri Tirumala Nagore Combines
","S. Hanumantha Rao
","Chandra Mohan, Kaikala Satyanarayana
","(A) CBFC 20 October 1982
","
",1982,2046
Patnam Mogudu Palletoori Pellam,T. S. B. K. Moulee,"T.V. International
",Shyam,Prathap K. Pothan,"
","30 April 1982
",1982,2047
Patnam Vachina Pativrathalu,T. S. B. K. Moulee,"
",,Chiranjeevi,,"
",1982,2048
Pelleedu Pillalu,Bapu,"Annapurna Pictures (P) Ltd.
","M. S. Viswanathan
",Suresh,,"23 July 1982
",1982,2049
Pellilla Perayya,"Kommineni
","G.V.K Combines
","J. V. Raghavulu
","Chandra Mohan, Kaikala Satyanarayana, Giri Babu, Aruna, Prabha, Narayana Rao, Kavitha, Nutan Prasad, Krishnaveni, PL. Narayana, Sakshi Ranga Rao, Jyothilakshmi
","Comedy (U)
","18 June 1982
",1982,2050
Poola Pallaki,"C. Umamaheswara Rao (Screenplay/Direction)
","Sri Durga Movie Enterprises
","Ilaiyaraaja
","Nalinikanth, Bhanuchandar, Prathap K Pothan, Aruna, Karate Lakshmi, Sridhar, Eeswar
",,"9 October 1982
",1982,2051
Pralaya Rudrudu,"A. Kodhanda Rami Reddy
","Viswa Chitra Cine Enterprises
","Chakravarthy
","Krishnam Raju, Mohan Babu, Narayana Rao, Rao Gopala Rao, Dr. M. Prabhakar Reddy Jayaprada, Aruna
","(A) CBFC 25 November 1982
","10 December 1982
",1982,2052
Prathikaram,"
","
",,,,"
",1982,2053
Pratigya,"
","
",,,,"
",1982,2054
Prema Murthulu,"
","
",,,,"
",1982,2055
Prema Nakshatram,"P. Sambasiva Rao
","Hema International
",,"Krishna, Sridevi, Manjula, Prasad Babu, Sulaks-hana
","(A)
","
",1982,2056
Prema Sankellu,"Vijaya Nirmala (Screenplay/Direction)
","Sri Vijaya Krishna Movies
",,"Naresh, Syamala Gowri, Jaggaiah, Manjula, Subha, Satyanarayana, Jyothi Lakshmi, Giri Babu
","(U)
","6 November 1982
",1982,2057
Premaku Padhabhishekam,"Durai
","Raghavendra Art Movies
",Vijaya T. Rajendar,"Dileep, Mohan, Poornima Jayaram, Sukumari, Sudha
","
","24 September 1982
",1982,2058
Punyabhumi Kallu Terichindhi,"Devadas Kanakala
","Arunodaya Film International
",,,"Eastman Color
","31 July 1982
",1982,2059
Purandara Dasu,"R. Ramamurthy
","Vijaya Lakshmi Citra
","Pendyala Nageswara Rao
","A movie for kids by kids aged between 10 and 14
","(U) Color Devotional by Child Artist
","10 September 1982
",1982,2060
Raaga Deepam,Dasari Narayana Rao,"Veera Rani Enterprises
","Chakravarthy
",Akkineni Nageswara Rao,,"11 January 1982
",1982,2061
Radha My Darling,"Bairisetty Bhaskara Rao
","
",,Chiranjeevi,,"
",1982,2062
Radhamma Mogudu,"
","
",,,,"
",1982,2063
Rangoon Raja,"G. N. Rangarajan
","Alayamman Creations
","Ilaiyaraaja
","Kamal Haasan, Sujatha, Ambika, Nagesh
","(U) CBFC 19 May 1982
","21 May 1982
",1982,2064
Savaal,"Boyina Subba Rao
","G.V.K. Combines
","Satyam
","Mohan Babu, Sumalatha, Kaikala Satyanarayana, Allu Rama Lingaiah, Giri Babu, Rajyalakshmi, Syamala, Vijaya Lalitha
","(A) CBFC 16 November 1982
","20 November 1982
",1982,2065
Savitri,"Bharathan
","Lena Productions
","M. S. Viswanathan
","Vinodh, Menaka
","
","1 January 1982
",1982,2066
Shamsher Shanker,"K. S. R. Das (Story/Direction)
","Makkal Thilagam Movies
","Satyam
","Krishna, Sridevi
","(U)
","22 October 1982
",1982,2067
Sitadevi,"Eranhi Sharma
","
",,Chiranjeevi,,"
",1982,2068
Sri Lakshmi Nilayam,"
","
",,,,"
",1982,2069
Subbarao Ki Kopam Vachhindi,"Dhavala Satyam
","Doondi
","Satyam
",,,"5 February 1982
",1982,2070
Subhalekha,K. Viswanath,"
",,Chiranjeevi,,"
",1982,2071
Swayamvaram,"
","
",,,,"
",1982,2072
Telugunadu,"
","
",,,,"
",1982,2073
Talli Kodukula Anubandham,"K. S. R. Das
","
",,"Krishnam Raju, Sridevi",,"
",1982,2074
Tharangini,"Kodi Ramakrishna
","Prathap Art Productions
","J. V. Raghavulu
","Suman, Tharangini, Bhanuchandar, Gollapudi, P.L. Narayana, Purnima,
",,"
",1982,2075
Tingu Rangadu,T. L. V. Prasad,"Anil Productions
","Chakravathi
",Chiranjeevi,,"1 October 1982
",1982,2076
Trisulam,"K. Raghavendra Rao
","
",,"Krishnam Raju, Sridevi",drama,"
",1982,2077
Vamsha Gowravam,"
","
",,,,"
",1982,2078
Vasantha Kokila,Balu Mahendra,"Vigneswara Art Creations
",Ilaiyaraaja,"Kamal Haasan, Sridevi
","
","14 October 1982
",1982,2079
Vayyari Bhamalu Vagalamari Bhartalu,Katta Subba Rao,"G.R.P. Art Pictures
",Rajan–Nagendra,N. T. Rama Rao,,"
",1982,2080
Vijaya Bheri,"Vijay (Vijay Reddy)
","Ganapathi Enterprises
","
","Rajkumar, Jaya Prada, Jayachitra, etc.
","
","23 January 1982
",1982,2081
Viplava Shankam,"
","
",,,,"
",1982,2082
Yama Kinkarudu,"Raj Bharat
","Gita Creative Arts
","Chandrasekar
","Chiranjeevi, ","Action/Crime/Disco
","22 October 1982
",1982,2083
Yuvraj,"Dasari Narayana Rao
","
",,"Akkineni Nageswara Rao, Jayasudha, Sujatha",,"
",1982,2084
Aalaya Sikharam,Kodi Ramakrishna,Sri Lalitha Movies,Chakravarthy,Chiranjeevi,"PG(UA)
","7 May 1983
",1983,2085
Adavalle Aligithe,"Satyanarayana Vejella
","Vijayachitra Pictures
",Krishna - Chakra,Rajendra Prasad,"UComedy
","3 December 1983
",1983,2086
Abhilasha,A. Kodandarami Reddy,,Ilaiyaraaja,Chiranjeevi,(A),"11 March 1983
",1983,2087
Adadhi Aata Bommaa!,"R. K. Battula (Story/Direction)
","R. K. Battula Productions
","Gopalakrishna
","Sekthi, Sony, Saikiran, S.S. Reddy, Raviraj, R. M. Joshi, Prabhakar, Umarani, Chitralekha, Jyothikiran, A. Radhakrishna, Sodala Prabhakar, Narasimha Reddy
","(A)
","??.??.1983
",1983,2088
Adavi Simhalu,K. Raghavendra Rao,"Vaijayanthi Movies
","Chakravarthy
",Krishnam Raju,"Scope U
","28 April 1983
",1983,2089
Agni Jwala,"Boyina Subba Rao, Tripuraneni Varaprasad
","G.V.K. Combines
","Satyam
",Mohan Babu,"
","14 July 1983
",1983,2090
Agni Samadhi,K. S. R. Das,"Makkal Thilagam Pictures
","Satyam
","Naresh, Kaikala Satyanarayana, Jaggaiah, Rao Gopala Rao,
","(A)
","21 October 1983
",1983,2091
Akka Mogudu Chelleli Kapuram,"Katta Subba Rao
","Sowmya International
","Chakravathy
","Chandra Mohan, Prabha, Kavitha, Ramji,
","(A)
","14 January 1983
",1983,2092
Amarajeevi,Jandhyala,"Jyothi Art Creations
",Chakravarthy,Akkineni Nageswara Rao,,"19 August 1983
",1983,2093
Amayakudu Kadhu Asadhyudu,"Vijaya Nirmala
","Sesirekha Movies
","Satyam
","Krishna Gattamaneni, Jayasudha, Anjali Devi,
","
","30 June 1983
",1983,2094
Amayaka Chakravarthy,"Janardhan
","Lalini Chitra
","Krishna & Chakra
","Chandra Mohan, Vijaya Santhi, ","(A)
","25 March 1983
",1983,2095
Andhra Kesari,"Thirumalai, Vijayachander
","Radha Chitra Combines
","Satyam
",Vijaya Chandher,"(U) CBFC
","20 May 1983
",1983,2096
Antham Chusina Adadhi,"
","J. W. International
","
","
","(A) CBFC
","10 June 1983
",1983,2097
Apadhbandhavulu,"
","Sri Aparna Movies
","
","
","(U) CBFC
","NR
",1983,2098
Bahudoorapu Batasari,"Dasari Narayana Rao
","Tharaka Prabhu Films
",Ramesh Naidu,Akkineni Nageswara Rao,(U),"19 May 1983
",1983,2099
Balidaanam,S. A. Chandrasekhar,"Santhosh Art Movies
",Chakravarthy,Shoban Babu,"(A)
","1 January 1983
",1983,2100
Bandhipotu Rudramma,"K. S. Reddy
","
","Satyam
","Kavitha, Vijaya Lalitha, Narasimha Raju, Jeeva
","(A)
","9 April 1983
",1983,2101
Bezawada Bebbuli,Vijaya Nirmala,Sri Vijaya Rama Pictures,Chakravarthy,Sivaji Ganesan,,"14 January 1983
",1983,2102
Bhairava Kona,"This needs further verification
","Sri Sai Datta Films
","
","
","(A) CBFC
","??.??.1983
",1983,2103
Bhama Rukmini,"R. Bhaskaran
","S.V.S Creations
","M. S. Viswanathan
","K. Bhagyaraj, Raadhika, Praveena, Nagesh
","(U) CBFC
","15 October 1983
",1983,2104
Bharathamma Muddu Biddalu,"Veera
","Fabina Art Creations
","K. S. Murthy
","
","CBFC not found
","??.??.1983
",1983,2105
Bharya Bharthala Sawal,"Chandrashekar Reddy
","Padmaja Kalamadhir
","Raj-Koti
","Mohan Babu, Sumalatha, Rao Gopala Rao, Aruna, Rajesh, Nutan Prasad, Syamala Gowri
","
","7 October 1983
",1983,2106
C I D Simham,"Joe Simon
","Dinesh Arts
","Satyam
","Vishnuvardha, Kajal Kiran,
","(A) CBFC
","??.??.1983
",1983,2107
Challenge Vetagallu,S. V. Rajendra Singh,"Sri Vigneswara Cine Art Creations
",Ilayaraja,"Ambareesh, Shankar Nag, Jayamala, Swapna, M. P. Shankar
","
","23 June 1983
",1983,2108
Chanda Sasanudu,"N. T. Rama Rao
",,,N. T. Rama Rao,,"28 May 1983
",1983,2109
Chandi Chamundi,"K. S. Reddy
","Surekha Pictures
","Satyam
","Kavitha, Vijaya Lalitha, Nutan Prasad, Sakshi Rangarao, Jeeva, Bindu Ghosh
","
","16 December 1983
",1983,2110
Chandi Rani,"P. Chandrasekhara Reddy
","Sri Vani Arts
","Raj-Koti
","Suman, Kavitha, Syamala Gowri, Gollapudi, Jayamala, Radha Kumari
","(A)
","11 November 1983
",1983,2111
Chattam,K. Vijayan,"Suresh Arts
",Gangai Amaran,Kamal Haasan,"
","4 November 1983
",1983,2112
Chattaniki Sawal,M. Karnan,"G. C. Arts
","Shankar Ganesh, Ramakrishna Raja
",Suman,"
","16 December 1983
",1983,2113
Chattaniki Veyi Kallu,"Vijaya Nirmala
","Ranjit Arts
","Chakravarthy
","Krishna Gattamaneni (Dual Role), Jaya
","
","31 March 1983
",1983,2114
Chilaka Josyam,"M. Pardha Saradhi
","Aadi Sekti Chitra
","
","
","
","21 April 1983
",1983,2115
Darling Darling Darling,"K. Bhagyaraj
","Amaravathy Arts
",Sankar Ganesh,K. Bhagyaraj,"(U) CBFC
","14 May 1983
",1983,2116
Debbaku Debba,"S. P. Mutturaman
","J.K Films
",Ilaiyaraaja,Rajinikanth,"(U)
","13 May 1983
",1983,2117
Desanikokkadu,"C. V. Rajendran
","Ajai Art Creations
",Ilaiyaraaja,Rajinikanth,"(U) CBFC
","12 August 1983
",1983,2118
Devi Kanaykumari,P. Subramanyam,"Sabari Art Pictures
","Devarajan
",Baby Vinodini,"Devotional
","21 May 1983
",1983,2119
Devi Moogambika,"K. Shankar
","Vijaya Adhitya Creations
",Ilaiyaraaja,K. R. Vijaya,"Devotional
","20 May 1983
",1983,2120
Devi Sridevi,"Raja Chandra
","Jayabheri Art Productions
","Chakravarthy
","Jayasudha, Raadhika, Murali Mohan, Giri Babu, Gummadi, Tulasi, Dr. M. Prabhakar Reddy, Prabha, Rajesh
","
","7 October 1983
",1983,2121
Dharma Poratam,"Boyina Subba Rao
","Sri Lakshmi Prasanna Pictures
","Satyam
","Mohan Babu, Gummadi Venkateswara Rao,
","(A)
","4 February 1983
",1983,2122
Dharmaatmudu,"B. Bhaskara Rao
","Sri Bramarambika Films
","Satyam
","Krishnam Raju, Jayasudh-a, Vijaya Santhi, Gummadi
","(U)
","16 September 1983
",1983,2123
Digivachina Devudu,K.S.L. Swamy,"Katyayani Creations
",G. K. Venkatesh,Lokesh,"PG
","9 September 1983
",1983,2124
Doctor Gari Kodalu,Muktha Srinivasan,"
","
",Sivaji Ganesan,"
","18 February 1983
",1983,2125
Durga Devi,"Nandam Harischandra Rao
","Vijaya Madhavee Pictures
","J. V. Raghavulu
","Mohan Babu, Murali Mohan, Jayasudha, Sarada, Geetha
","
","8 July 1983
",1983,2126
Ee Desamlo Oka Roju,"Satyanarayana Vejella
","Kumar Raja Pictures
",Chakravarthy,"Rajendra Prasad, Kavitha, Sai Chand, Gummadi,  Siva Krishna, Nutan Prasad, Jyothi, Geetha, etc
","(A)
","10 March 1983
",1983,2127
Ee Pillaku Pellavuthunda,"Vejella Satyanarayana
","Sri Bala Balaji Combines
","Chakravarthy
","Gummadi, Sai Chand, Jyothi, Purnima, Syamala Gowri, Tulasi, Nutan Prasad
","
","26 August 1983
",1983,2128
Eeswarudu Seneswarudu,B. R. Panthulu,"Dasanjaneya Pictures
",M. S. Viswanathan,Gemini Ganesan,"
","4 February 1983
",1983,2129
Gaanam,Sreekumaran Thampi,"Sarada Movie Creations
","Susarla & Upendra Kumar
",Jagathy Sreekumar,"
","15 December 1983
",1983,2130
Gaju Bommalu,"Koneru Ravindranath
","Natanalaya Combines
","Ramesh Naidu
","Sarath Babu, Rama Prab-ha,
","(A) CBFC
","11 February 1983
",1983,2131
Grahanam Vidichindi,"Bose
","Kalyana Chakravarthi Films
","Ramesh Naidu
","Murali Mohan, Kavitha, Nutan Prasad, Sakshi
","
","22 July 1983
",1983,2132
Gudachari No.1,Kodi Ramakrishna,"Vijaya Lakshmi Art Pictures
",Chakravarthy,Chiranjeevi,,"30 June 1983
",1983,2133
Iddaru Kiladeelu,"Relangi Narasimha Rao
","Charitha Chitra
","Joy
","Suman, Bhanuchandar,  Jaya Sudha, Aruna, Sad-hana, Ramana Murthy, Nutan Prasad, ","(A) CBFC
","3 June 1983
",1983,2134
Idhi Kadhu Mugimpu,"Satyanarayana Vejella
","Ureka Cine Enterprises
","Sivajiraja
","Rajendra Prasad, Geetha, Jyothi, Kaikala
","
","18 February 1983
",1983,2135
Ikanaina Marandi,"Gangadhar
","Easwari Art Pictures
","Satyam
","Murali Mohan, Jyothi, Gummadi, Allu Rama Lingaiah, Rallapalli, Sakshi Ranga Rao, Ravi Kondala Rao, Vallam Narasimha Rao, Manorama, Attili Lakshmi, Kakinada Syamala, Padma
","(A) CBFC
","7 May 1983
",1983,2136
Intalludu,"
","
","
","
","CBFC not found
","??.??.1983
",1983,2137
